series_code,obs_date,obs_value
MMRD000A,2026-08-20,10.5
MMRD000A,2026-08-21,10.5
MMRD000A,2026-08-24,10.5
MMRD000A,2026-08-25,10.5
MMRD000A,2026-08-26,10.5
MMRD000A,2026-08-27,10.5
MMRD000A,2026-08-28,10.5
MMRD000A,2026-08-31,10.5
MMRD000A,2026-09-01,10.5
MMRD000A,2026-09-02,10.5
MMRD000A,2026-09-03,10.5
MMRD000A,2026-09-04,10.5
MMRD000A,2026-09-07,10.5
MMRD000A,2026-09-08,10.5
MMRD000A,2026-09-09,10.5
MMRD000A,2026-09-10,10.5
MMRD000A,2026-09-11,10.5
MMRD000A,2026-09-14,10.5
MMRD000A,2026-09-15,10.5
MMRD000A,2026-09-16,10.5
MMRD000A,2026-09-17,10.5
MMRD000A,2026-09-18,10.5
MMRD000A,2026-09-21,10.5
MMRD000A,2026-09-22,10.5
MMRD000A,2026-09-23,10.5
MMRD002A,2026-08-20,7.0
MMRD002A,2026-08-21,7.0
MMRD002A,2026-08-24,7.0
MMRD002A,2026-08-25,7.0
MMRD002A,2026-08-26,7.0
MMRD002A,2026-08-27,7.0
MMRD002A,2026-08-28,7.0
MMRD002A,2026-08-31,7.0
MMRD002A,2026-09-01,7.0
MMRD002A,2026-09-02,7.0
MMRD002A,2026-09-03,7.0
MMRD002A,2026-09-04,7.0
MMRD002A,2026-09-07,7.0
MMRD002A,2026-09-08,7.0
MMRD002A,2026-09-09,7.0
MMRD002A,2026-09-10,7.0
MMRD002A,2026-09-11,7.0
MMRD002A,2026-09-14,7.0
MMRD002A,2026-09-15,7.0
MMRD002A,2026-09-16,7.0
MMRD002A,2026-09-17,7.0
MMRD002A,2026-09-18,7.0
MMRD002A,2026-09-21,7.0
MMRD002A,2026-09-22,7.0
MMRD002A,2026-09-23,7.0
EXCX135D,2026-08-20,16.1209
EXCX135D,2026-08-21,16.0328
EXCX135D,2026-08-24,16.0238
EXCX135D,2026-08-25,16.0115
EXCX135D,2026-08-26,15.9384
EXCX135D,2026-08-27,15.9627
EXCX135D,2026-08-28,15.9792
EXCX135D,2026-08-31,16.1574
EXCX135D,2026-09-01,16.178
EXCX135D,2026-09-02,16.1467
EXCX135D,2026-09-03,16.0586
EXCX135D,2026-09-04,15.9713
EXCX135D,2026-09-07,15.9657
EXCX135D,2026-09-08,16.0684
EXCX135D,2026-09-09,16.0107
EXCX135D,2026-09-10,16.046
EXCX135D,2026-09-11,16.1675
EXCX135D,2026-09-14,16.2446
EXCX135D,2026-09-15,16.3166
EXCX135D,2026-09-16,16.2638
EXCX135D,2026-09-17,16.3075
EXCX135D,2026-09-18,16.2634
EXCX135D,2026-09-21,16.2057
EXCX135D,2026-09-22,16.3292
EXCX135D,2026-09-23,16.2488
